Collection Name,Collection Id,MMS Id,Title,Suppressed From Discovery,Uniform Resource Identifier,Rep Label,File Label,Permalink
MGSM Working Papers In Management Collection,81284603330002171,99245209361202171,A governance perspective on executive options plans-reflections on some Australian empirical evidence /,No,http://hdl.handle.net/1959.14/95268,,MGSM working papers in management WP 2004-4,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209361202171
MGSM Working Papers In Management Collection,81284603330002171,99245209361502171,Financial performance of privatized state-owned enterprises (SOEs) in Vietnam /,No,http://hdl.handle.net/1959.14/96937,Financial performance of privatized state-owned enterprises (SOEs) in Vietnam /,MGSM working papers in management WP 2008-2,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209361502171
MGSM Working Papers In Management Collection,81284603330002171,99245209361702171,"Self-efficacy, work motivation and employee engagement : using forum theatre techniques to improve customer service in Australia /",No,http://hdl.handle.net/1959.14/96967,"Self-efficacy, work motivation and employee engagement :",MGSM working papers in management WP 2008-6,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209361702171
MGSM Working Papers In Management Collection,81284603330002171,99245209361802171,Improving employee engagement and performance : a self-efficacy based intervention /,No,http://hdl.handle.net/1959.14/96979,,MGSM working papers in management WP 2008-8,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209361802171
MGSM Working Papers In Management Collection,81284603330002171,99245210076302171,The philosophical dimension of leadership attunement.,No,http://hdl.handle.net/1959.14/3919,,MGSM working papers in management WP 2007-6.pdf,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245210076302171
MGSM Working Papers In Management Collection,81284603330002171,99245210076402171,Early impressions of Australia's brave new world of goodwill impairment /,No,http://hdl.handle.net/1959.14/2966,,MGSM working papers in management WP 2007-1,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245210076402171
MGSM Working Papers In Management Collection,81284603330002171,99245210076502171,"Terror, nationalism and education in a boundaryless world.",No,http://hdl.handle.net/1959.14/2101,,MGSM working papers in management WP 2007-3,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245210076502171
MGSM Working Papers In Management Collection,81284603330002171,99245210076602171,Goodwill impairment : an assessment of disclosure quality and compliance levels by large listed Australian firms.,No,http://hdl.handle.net/1959.14/104945,,MGSM working papers in management WP 2007-8,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245210076602171
MGSM Working Papers In Management Collection,81284603330002171,99245210076702171,The contextual insensitivity of the theory: Marxist and liberal rationalist readings of nationalism.,No,http://hdl.handle.net/1959.14/2528,,MGSM working papers in management WP 2007-4,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245210076702171
MGSM Working Papers In Management Collection,81284603330002171,99245210076802171,"The importance of ""awareness"" in management and coaching.",No,http://hdl.handle.net/1959.14/1739,,MGSM working papers in management WP 2007-5.pdf,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245210076802171
MGSM Working Papers In Management Collection,81284603330002171,99245210076902171,Ecstasy on the boundary : the role of theorising and educating in disruptive market places.,No,http://hdl.handle.net/1959.14/2117,,MGSM working papers in management WP 2007-2,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245210076902171
MGSM Working Papers In Management Collection,81284603330002171,99245210077002171,The value of existential forms of reflection for the practices of managers : a Hedieggerian [sic] perspective.,No,http://hdl.handle.net/1959.14/2320,,MGSM working papers in management WP 2007-7,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245210077002171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130645902171,Harmonisation of International Commercial Arbitration Law and Sharia : the case of Pacta Sunt Servanda versus Ordre Public : the use of ijihad to acheive higher award achievement.,No,http://hdl.handle.net/1959.14/173566,Harmonisation of International Commercial Arbitration Law and Sharia : the case of Pacta Sunt Servanda versus Ordre Public : the use of ijihad to acheive higher award achievement,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130645902171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130646002171,The Greek Affair : a cause or a symptom of the European Union instability.,No,http://hdl.handle.net/1959.14/102218,The Greek Affair : a cause or a symptom of the European Union instability,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130646002171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130646102171,The Colonies and China : early sea trade and the plights of mariners.,No,http://hdl.handle.net/1959.14/130186,The Colonies and China : early sea trade and the plights of mariners,Autherror;jsessionid=BD46938393CDDBCC207D139866BC84E7,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130646102171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130646202171,Implications of the TRIPS Agreement in Bangladesh : prospects and concerns.,No,http://hdl.handle.net/1959.14/110723,Implications of the TRIPS Agreement in Bangladesh : prospects and concerns,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130646202171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130646302171,An Indianman's misadventure : the case of the King v Dillon.,No,http://hdl.handle.net/1959.14/110462,An Indianman's misadventure : the case of the King v Dillon,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130646302171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130646402171,Towards a truly harmonised international commercial and investment arbitration law code (HICIALC) : enforcing MENA-foreign investor arbitrations via a single regulatory framework : a new map for a new landscape.,No,http://hdl.handle.net/1959.14/164750,Towards a truly harmonised international commercial and investment arbitration law code (HICIALC) : enforcing MENA-foreign investor arbitrations via a single regulatory framework : a new map for a new landscape,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130646402171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130646502171,Towards creating sustainable Australian international education.,No,http://hdl.handle.net/1959.14/110440,Towards creating sustainable Australian international education,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130646502171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130646602171,'Marriage-like relationships' and social security : retirees and the age pension.,No,http://hdl.handle.net/1959.14/110696,'Marriage-like relationships' and social security : retirees and the age pension,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130646602171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130646702171,China - growth and its challenges.,No,http://hdl.handle.net/1959.14/110724,China - growth and its challenges,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130646702171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130646802171,"21st century corporate social responsibility trends : an emerging comparative body of law and regulation on corporate responsibility, governance, and sustainability.",No,http://hdl.handle.net/1959.14/22895,"21st century corporate social responsibility trends : an emerging comparative body of law and regulation on corporate responsibility, governance, and sustainability",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130646802171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130646902171,There was movement at the station for the word had passed around : how does a company possess inside information under Australian insider trading laws?,No,http://hdl.handle.net/1959.14/9717,There was movement at the station for the word had passed around : how does a company possess inside information under Australian insider trading laws?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130646902171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130647002171,Back to the future? The impact of financial services reform on insider trading in Australia.,No,http://hdl.handle.net/1959.14/23653,Back to the future? The impact of financial services reform on insider trading in Australia,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130647002171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130647102171,Responding to technological change : the regulation of the information society in the European Union.,No,http://hdl.handle.net/1959.14/24800,Responding to technological change : the regulation of the information society in the European Union,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130647102171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130647202171,Capital gains taxation of damages : a challenge for litigants and their advisers.,No,http://hdl.handle.net/1959.14/24837,Capital gains taxation of damages : a challenge for litigants and their advisers,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130647202171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130647302171,Competitive justice? : the role of dispute resolution providers under ICANN's UDRP.,No,http://hdl.handle.net/1959.14/30950,Competitive justice? : the role of dispute resolution providers under ICANN's UDRP,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130647302171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130647402171,An Evaluation of whether the Australian regime of income tax on capital gains satisfies the macro-level policy objective of horizontal equity.,No,http://hdl.handle.net/1959.14/22673,An Evaluation of whether the Australian regime of income tax on capital gains satisfies the macro-level policy objective of horizontal equity,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130647402171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130647502171,Financial adaptation challenges for the insurance industry due to climate change.,No,http://hdl.handle.net/1959.14/23861,Financial adaptation challenges for the insurance industry due to climate change,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130647502171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130647602171,The Admissability of expert opinion economic evidence in judicial review.,No,http://hdl.handle.net/1959.14/20012,The Admissability of expert opinion economic evidence in judicial review,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130647602171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130647702171,"A Promise made is a debt unpaid : the case of Orchard v Curtis, Supreme Court of Van Diemen's Land, 12 July 1833.",No,http://hdl.handle.net/1959.14/110713,"A Promise made is a debt unpaid : the case of Orchard v Curtis, Supreme Court of Van Diemen's Land, 12 July 1833",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130647702171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130647802171,'The Song remains the same' - the status of the rule of law in China at the 5th year anniversary of WTO membership.,No,http://hdl.handle.net/1959.14/11271,'The Song remains the same' - the status of the rule of law in China at the 5th year anniversary of WTO membership,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130647802171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130647902171,Emissions trading : traps for new players.,No,http://hdl.handle.net/1959.14/45487,Emissions trading : traps for new players,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130647902171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130648002171,Bundling : an overview of New Zealand and Australian trade practices law.,No,http://hdl.handle.net/1959.14/110708,Bundling : an overview of New Zealand and Australian trade practices law,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130648002171
Macquarie Journal Of Business Law Collection,81271192350002171,99245130648102171,The European Union's response to the global financial crisis - can member nations avoid a move to protectionism?,No,http://hdl.handle.net/1959.14/110928,The European Union's response to the global financial crisis - can member nations avoid a move to protectionism?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130648102171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130643402171,Managing the relationship between adaptation and coastal land use development through the use of s 149 certificates.,No,http://hdl.handle.net/1959.14/157781,Managing the relationship between adaptation and coastal land use development through the use of s 149 certificates,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130643402171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130643502171,"Defining the ideology of public participation : 'democracy', 'devolution', 'deliberation', 'dispute resolution' and a new system for identifying.",No,http://hdl.handle.net/1959.14/214824,"Defining the ideology of public participation : 'democracy', 'devolution', 'deliberation', 'dispute resolution' and a new system for identifying",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130643502171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130643602171,Genetic engineering and seed banks : impacts on global crop diversity.,No,http://hdl.handle.net/1959.14/278527,Genetic engineering and seed banks : impacts on global crop diversity,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130643602171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130643702171,IMO mandatory energy efficiency measures for international shipping : the first mandatory global greenhouse gas reduction instrument for an international industry.,No,http://hdl.handle.net/1959.14/143729,IMO mandatory energy efficiency measures for international shipping : the first mandatory global greenhouse gas reduction instrument for an international industry,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130643702171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130643802171,Environmental requirements in the WTO : developmental challenges of the least developed countries with a particular reference to Bangladesh.,No,http://hdl.handle.net/1959.14/278435,Environmental requirements in the WTO : developmental challenges of the least developed countries with a particular reference to Bangladesh,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130643802171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130643902171,The Proposed governance framework for the Murray-Darling Basin.,No,http://hdl.handle.net/1959.14/111810,The Proposed governance framework for the Murray-Darling Basin,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130643902171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130644002171,"Standing, adaptive management and the Queensland lungfish : Wide Bay Conservation Council Inc v Burnett Water Pty Ltd.",No,http://hdl.handle.net/1959.14/157783,"Standing, adaptive management and the Queensland lungfish : Wide Bay Conservation Council Inc v Burnett Water Pty Ltd",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130644002171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130644102171,Remedies for environmental harm : Dharmic duty and tort liability in India - is there a common ground?,No,http://hdl.handle.net/1959.14/194511,Remedies for environmental harm : Dharmic duty and tort liability in India - is there a common ground?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130644102171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130644202171,The Role of the public as a regulatory actor in the context of climate change regulation.,No,http://hdl.handle.net/1959.14/22920,The Role of the public as a regulatory actor in the context of climate change regulation,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130644202171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130644302171,Editorial note (Macquarie journal of international and comparative environmental law).,No,http://hdl.handle.net/1959.14/24822,Editorial note (Macquarie journal of international and comparative environmental law),Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130644302171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130644402171,Protected area management in Vanuatu.,No,http://hdl.handle.net/1959.14/33400,Protected area management in Vanuatu,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130644402171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130644502171,Environmental ethics and sustainable development : ethical and human rights issues in implementing Indigenous rights.,No,http://hdl.handle.net/1959.14/24811,Environmental ethics and sustainable development : ethical and human rights issues in implementing Indigenous rights,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130644502171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130644602171,Protection of cultural heritage in times of armed conflict : the international legal framework revisited.,No,http://hdl.handle.net/1959.14/24560,Protection of cultural heritage in times of armed conflict : the international legal framework revisited,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130644602171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130644702171,Australian regulation of gene technology : impacts on biodiversity.,No,http://hdl.handle.net/1959.14/31220,Australian regulation of gene technology : impacts on biodiversity,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130644702171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130644802171,Book review : 'Environmental law for sustainability'.,No,http://hdl.handle.net/1959.14/12212,Book review : 'Environmental law for sustainability',Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130644802171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130644902171,Book review : 'Collapse : how societies choose to fail or survive'.,No,http://hdl.handle.net/1959.14/24785,Book review : 'Collapse : how societies choose to fail or survive',Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130644902171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130645002171,Book review : 'The Yearbook of European environmental law'.,No,http://hdl.handle.net/1959.14/21713,Book review : 'The Yearbook of European environmental law',Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130645002171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130645102171,Corporate social responsibility in context : the case for compulsory sustainability disclosure for listed public companies in Australia?,No,http://hdl.handle.net/1959.14/22781,Corporate social responsibility in context : the case for compulsory sustainability disclosure for listed public companies in Australia?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130645102171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130645202171,One step forward? Recent developments in Australian State and Territory indigenous cultural heritage laws.,No,http://hdl.handle.net/1959.14/11409,One step forward? Recent developments in Australian State and Territory indigenous cultural heritage laws,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130645202171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130645302171,"Bioprospecting and the genetic resources of hydrothermal vents on the high seas : what is the existing legal position, where are we heading and what are our options?",No,http://hdl.handle.net/1959.14/30930,"Bioprospecting and the genetic resources of hydrothermal vents on the high seas : what is the existing legal position, where are we heading and what are our options?",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130645302171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130645402171,The Trade-environnment interface : issues lurking behind the North-South tensions.,No,http://hdl.handle.net/1959.14/16185,The Trade-environnment interface : issues lurking behind the North-South tensions,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130645402171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130645502171,The Transboundary movement of harmful wastes and the transformation of traditional state responsibility.,No,http://hdl.handle.net/1959.14/41019,The Transboundary movement of harmful wastes and the transformation of traditional state responsibility,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130645502171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130645602171,"Book review : 'The Disappearing ""Asian"" city : protecting Asia's urban heritage in a globalising world'.",No,http://hdl.handle.net/1959.14/25388,"Book review : 'The Disappearing ""Asian"" city : protecting Asia's urban heritage in a globalising world'",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130645602171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130645702171,Ethical relationships for biodiversity research and benefit-sharing with Indigenous peoples.,No,http://hdl.handle.net/1959.14/24847,Ethical relationships for biodiversity research and benefit-sharing with Indigenous peoples,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130645702171
Macquarie Journal Of International And Comparative Environmental Law Collection,81271192340002171,99245130645802171,Implementation of the MARPOL Convention in Bangladesh.,No,http://hdl.handle.net/1959.14/91748,Implementation of the MARPOL Convention in Bangladesh,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130645802171
Macquarie Law Journal Collection,81271192330002171,99245130624902171,Australian inquiry into the protection of human genetic information.,No,http://hdl.handle.net/1959.14/41122,Australian inquiry into the protection of human genetic information,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130624902171
Macquarie Law Journal Collection,81271192330002171,99245130625002171,Regulating biomedial advances : embryonic stem cell research.,No,http://hdl.handle.net/1959.14/41118,Regulating biomedial advances : embryonic stem cell research,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130625002171
Macquarie Law Journal Collection,81271192330002171,99245130625102171,Counsel's immunity : the High Court's decision in Boland v Yates.,No,http://hdl.handle.net/1959.14/33047,Counsel's immunity : the High Court's decision in Boland v Yates,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130625102171
Macquarie Law Journal Collection,81271192330002171,99245130625202171,"Arguments against people legally 'owning' their own bodies, body parts and tissue.",No,http://hdl.handle.net/1959.14/41126,"Arguments against people legally 'owning' their own bodies, body parts and tissue",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130625202171
Macquarie Law Journal Collection,81271192330002171,99245130625302171,Genetically modified foods - hopes and fears.,No,http://hdl.handle.net/1959.14/41128,Genetically modified foods - hopes and fears,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130625302171
Macquarie Law Journal Collection,81271192330002171,99245130625402171,DNA evidence in criminal appeals and post-conviction inquiries : are new forms of review required?,No,http://hdl.handle.net/1959.14/41124,DNA evidence in criminal appeals and post-conviction inquiries : are new forms of review required?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130625402171
Macquarie Law Journal Collection,81271192330002171,99245130625502171,Public Service Association of South Australia Inc v Industrial Relations Commission of South Australia [2012] HCA 25.,No,http://hdl.handle.net/1959.14/193521,Public Service Association of South Australia Inc v Industrial Relations Commission of South Australia [2012] HCA 25,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130625502171
Macquarie Law Journal Collection,81271192330002171,99245130625602171,"Secession, majority rule and equal rights : a few questions.",No,http://hdl.handle.net/1959.14/27772,"Secession, majority rule and equal rights : a few questions",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130625602171
Macquarie Law Journal Collection,81271192330002171,99245130625702171,'Domestic promises' and the division of farming property in Australia.,No,http://hdl.handle.net/1959.14/335182,'Domestic promises' and the division of farming property in Australia,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130625702171
Macquarie Law Journal Collection,81271192330002171,99245130625802171,"National Federation of Independent Business v Sebelius, Secretary of Health and Human Services Supreme Court of the United States of America 28 June 2012, 567 US___, 132 S CT 2566, 183 L ED 450 (2012).",No,http://hdl.handle.net/1959.14/193515,"National Federation of Independent Business v Sebelius, Secretary of Health and Human Services Supreme Court of the United States of America 28 June 2012, 567 US___, 132 S CT 2566, 183 L ED 450 (2012)",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130625802171
Macquarie Law Journal Collection,81271192330002171,99245130625902171,What price uncertainty? The Persistent vegetative state in New South Wales.,No,http://hdl.handle.net/1959.14/41178,What price uncertainty? The Persistent vegetative state in New South Wales,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130625902171
Macquarie Law Journal Collection,81271192330002171,99245130626002171,On the possibility of impartiality in decision-making.,No,http://hdl.handle.net/1959.14/32995,On the possibility of impartiality in decision-making,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130626002171
Macquarie Law Journal Collection,81271192330002171,99245130626102171,Editors' note.,No,http://hdl.handle.net/1959.14/1137166,Editors' note,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130626102171
Macquarie Law Journal Collection,81271192330002171,99245130626202171,Choosing life : the drug summit and beyond.,No,http://hdl.handle.net/1959.14/33036,Choosing life : the drug summit and beyond,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130626202171
Macquarie Law Journal Collection,81271192330002171,99245130626302171,"Seeds, weeds and greed : an analysis of the Gene Technology Act 2000 (Cth), its effect on property rights, and the legal and policy dimensions of a constitutional challenge.",No,http://hdl.handle.net/1959.14/41108,"Seeds, weeds and greed : an analysis of the Gene Technology Act 2000 (Cth), its effect on property rights, and the legal and policy dimensions of a constitutional challenge",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130626302171
Macquarie Law Journal Collection,81271192330002171,99245130626402171,Can the Bolivarian experiment implement transitional justice in Venezuela?,No,http://hdl.handle.net/1959.14/324639,Can the Bolivarian experiment implement transitional justice in Venezuela?,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130626402171
Macquarie Law Journal Collection,81271192330002171,99245130626502171,Synthetic biology and the responsible conduct of research.,No,http://hdl.handle.net/1959.14/1136726,Synthetic biology and the responsible conduct of research,Autherror;jsessionid=21F6CFB9A1B83073CF3BCE0884E35B97,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130626502171
Macquarie Law Journal Collection,81271192330002171,99245130626602171,Goddard Elliott v Fritsch [2012] VSC 87.,No,http://hdl.handle.net/1959.14/193514,Goddard Elliott v Fritsch [2012] VSC 87,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130626602171
Macquarie Law Journal Collection,81271192330002171,99245130626702171,"What of the right to silence : still supporting the presumption of innocence, or a growing legal fiction?",No,http://hdl.handle.net/1959.14/33007,"What of the right to silence : still supporting the presumption of innocence, or a growing legal fiction?",Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130626702171
Macquarie Law Journal Collection,81271192330002171,99245130626802171,Isolating the patentability of genetic materials : the D'Arcy v Myriad Genetics saga.,No,http://hdl.handle.net/1959.14/1137425,Isolating the patentability of genetic materials : the D'Arcy v Myriad Genetics saga,Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130626802171
Macquarie Law Journal Collection,81271192330002171,99245130626902171,Protecting the right to be a 'bigot' in the wake of the 'Apology to Australia's Indigenous Peoples'.,No,http://hdl.handle.net/1959.14/336884,Protecting the right to be a 'bigot' in the wake of the 'Apology to Australia's Indigenous Peoples',Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130626902171
Macquarie Law Journal Collection,81271192330002171,99245130627002171,Book review : 'Tort liability of public authorities'.,No,http://hdl.handle.net/1959.14/33086,Book review : 'Tort liability of public authorities',Publisher version (open access),https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245130627002171
